epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.8565,1.41181,4.04692,1.75742,0.29304,0.02572,0.00867,0.00439,1.56685,3.84275,1.96171,0.0672558,0.000330749,0.000330749
2,180.387,1.37941,3.67467,1.73645,0.32346,0.03742,0.01187,0.00572,1.64348,3.82354,1.99242,0.0342492,0.000657508,0.000657508
3,267.821,1.37502,3.53886,1.73578,0.36667,0.05239,0.01554,0.00848,1.50832,3.65529,1.83347,0.00123607,0.000977667,0.000977667
4,353.415,1.36816,3.43242,1.72889,0.31724,0.06179,0.02333,0.01216,1.56215,3.45937,1.87511,0.0009703,0.0009703,0.0009703
5,439.517,1.33861,3.3775,1.725,0.3996,0.06587,0.02858,0.01453,1.61287,3.23359,1.92075,0.0009604,0.0009604,0.0009604
6,526.682,1.34611,3.32213,1.73176,0.4443,0.06015,0.03257,0.01809,1.48245,3.18277,1.81432,0.0009505,0.0009505,0.0009505
7,614.173,1.32762,3.23958,1.71156,0.41569,0.08153,0.0364,0.02013,1.54083,3.20709,1.8583,0.0009406,0.0009406,0.0009406
8,698.613,1.31179,3.17976,1.68657,0.45495,0.08199,0.04434,0.02392,1.52997,3.18449,1.88219,0.0009307,0.0009307,0.0009307
9,782.285,1.31422,3.16392,1.70717,0.40991,0.08616,0.0435,0.02242,1.60892,3.11392,1.93773,0.0009208,0.0009208,0.0009208
10,867.66,1.29795,3.09334,1.69676,0.43282,0.09562,0.05162,0.02853,1.5533,2.97176,1.86457,0.0009109,0.0009109,0.0009109
11,954.255,1.31101,3.07237,1.68966,0.46943,0.09436,0.05335,0.0283,1.55457,3.03077,1.87492,0.000901,0.000901,0.000901
12,1040.44,1.28538,3.04758,1.6888,0.43344,0.08741,0.05124,0.02935,1.48678,3.01707,1.82017,0.0008911,0.0008911,0.0008911
13,1126.88,1.26671,2.98727,1.67099,0.42577,0.09078,0.05522,0.03199,1.44397,2.93663,1.77913,0.0008812,0.0008812,0.0008812
14,1213.65,1.27039,3.02101,1.67346,0.38189,0.10543,0.05939,0.03477,1.44191,2.95416,1.77756,0.0008713,0.0008713,0.0008713
15,1299.59,1.26054,2.93937,1.68063,0.38124,0.10627,0.05819,0.03644,1.32054,2.89218,1.69795,0.0008614,0.0008614,0.0008614
16,1385.97,1.24573,2.91308,1.65656,0.40198,0.1068,0.0665,0.04058,1.36525,2.83487,1.71057,0.0008515,0.0008515,0.0008515
17,1471.34,1.23246,2.89139,1.64534,0.39273,0.10489,0.07075,0.04522,1.26608,2.80747,1.65035,0.0008416,0.0008416,0.0008416
18,1557.42,1.21665,2.80721,1.62801,0.37589,0.11116,0.06717,0.04234,1.25169,2.81816,1.6583,0.0008317,0.0008317,0.0008317
19,1643.77,1.23633,2.82332,1.62976,0.38641,0.11504,0.07376,0.04467,1.34545,2.82544,1.69987,0.0008218,0.0008218,0.0008218
20,1730.39,1.21258,2.818,1.62846,0.47032,0.10421,0.06993,0.04317,1.28938,2.7892,1.66125,0.0008119,0.0008119,0.0008119
21,1817.19,1.22526,2.80986,1.63506,0.36599,0.0957,0.06554,0.04215,1.23217,2.91947,1.63973,0.000802,0.000802,0.000802
22,1903.5,1.2168,2.79257,1.6351,0.39957,0.12369,0.07625,0.04823,1.30467,2.73783,1.67976,0.0007921,0.0007921,0.0007921
23,1989.52,1.18563,2.73225,1.59965,0.40159,0.12417,0.0786,0.04865,1.30432,2.76399,1.67336,0.0007822,0.0007822,0.0007822
24,2074.99,1.18608,2.72186,1.61027,0.36324,0.12627,0.07966,0.05017,1.33886,2.8061,1.72477,0.0007723,0.0007723,0.0007723
25,2160.75,1.18472,2.69037,1.60557,0.3671,0.1309,0.08372,0.05275,1.28595,2.71196,1.67519,0.0007624,0.0007624,0.0007624
26,2246.54,1.17049,2.66178,1.59217,0.40168,0.12698,0.08953,0.05645,1.31192,2.69813,1.68956,0.0007525,0.0007525,0.0007525
27,2333.52,1.17707,2.67457,1.60035,0.39556,0.12692,0.08611,0.05518,1.24115,2.67735,1.63839,0.0007426,0.0007426,0.0007426
28,2420.06,1.17848,2.6519,1.61167,0.39068,0.13635,0.09442,0.06147,1.22425,2.63291,1.61471,0.0007327,0.0007327,0.0007327
29,2504.13,1.16492,2.59765,1.58984,0.37054,0.14025,0.09469,0.06262,1.18949,2.62047,1.61304,0.0007228,0.0007228,0.0007228
30,2589.41,1.18293,2.63278,1.61277,0.36845,0.13283,0.0893,0.05863,1.22663,2.64639,1.61261,0.0007129,0.0007129,0.0007129
31,2676.41,1.18436,2.60532,1.59435,0.38864,0.13084,0.09213,0.06128,1.17418,2.67268,1.58198,0.000703,0.000703,0.000703
32,2762.84,1.1687,2.56026,1.58759,0.39853,0.1413,0.09964,0.06212,1.30737,2.60586,1.65011,0.0006931,0.0006931,0.0006931
33,2847.57,1.15542,2.54272,1.57853,0.39598,0.13978,0.0988,0.06288,1.29229,2.62803,1.68841,0.0006832,0.0006832,0.0006832
34,2932.21,1.14631,2.51867,1.5548,0.40238,0.13057,0.09745,0.06337,1.22385,2.57306,1.60071,0.0006733,0.0006733,0.0006733
35,3017.68,1.1272,2.46425,1.54452,0.38852,0.14935,0.10174,0.06507,1.26781,2.55847,1.64113,0.0006634,0.0006634,0.0006634
36,3104.26,1.14044,2.50564,1.56673,0.36029,0.13784,0.09585,0.06188,1.24083,2.60645,1.63491,0.0006535,0.0006535,0.0006535
37,3190.25,1.13113,2.47842,1.55762,0.36881,0.13851,0.1004,0.06586,1.22084,2.55847,1.61554,0.0006436,0.0006436,0.0006436
38,3276.53,1.12931,2.4408,1.55713,0.3803,0.14361,0.10444,0.06903,1.20336,2.55115,1.60109,0.0006337,0.0006337,0.0006337
39,3362.24,1.10168,2.41746,1.52762,0.40209,0.14412,0.1038,0.06926,1.15936,2.61982,1.58981,0.0006238,0.0006238,0.0006238
40,3448.44,1.12676,2.4558,1.55233,0.39489,0.14278,0.10658,0.07134,1.1377,2.52901,1.56297,0.0006139,0.0006139,0.0006139
41,3535.77,1.12495,2.41181,1.54382,0.38427,0.15649,0.11037,0.07641,1.09561,2.4806,1.54357,0.000604,0.000604,0.000604
42,3622.12,1.1153,2.40365,1.55314,0.39549,0.1461,0.10657,0.07222,1.13717,2.5437,1.56791,0.0005941,0.0005941,0.0005941
43,3707.62,1.12464,2.4011,1.55359,0.37866,0.1499,0.11232,0.07557,1.1899,2.54911,1.60629,0.0005842,0.0005842,0.0005842
44,3794.58,1.12272,2.38552,1.554,0.39435,0.15347,0.11445,0.07819,1.11973,2.49164,1.56244,0.0005743,0.0005743,0.0005743
45,3880.43,1.11093,2.36124,1.5376,0.39833,0.15129,0.11634,0.07896,1.15993,2.48629,1.57822,0.0005644,0.0005644,0.0005644
46,3965.94,1.10707,2.33195,1.53817,0.34644,0.15265,0.11093,0.07257,1.21018,2.55628,1.63076,0.0005545,0.0005545,0.0005545
47,4051.49,1.10802,2.32926,1.53825,0.36181,0.15281,0.11271,0.07727,1.1388,2.50759,1.56003,0.0005446,0.0005446,0.0005446
48,4138.75,1.09968,2.29557,1.51914,0.36418,0.15011,0.1165,0.08114,1.08072,2.45199,1.54007,0.0005347,0.0005347,0.0005347
49,13298.5,1.08697,2.29751,1.53198,0.35101,0.15391,0.11515,0.08001,1.10239,2.45102,1.55594,0.0005248,0.0005248,0.0005248
50,13374.8,1.10883,2.30562,1.53535,0.39268,0.14719,0.11522,0.07639,1.18389,2.49029,1.58689,0.0005149,0.0005149,0.0005149
51,13451.1,1.0768,2.22946,1.50813,0.348,0.1633,0.12142,0.08087,1.18978,2.48687,1.58408,0.000505,0.000505,0.000505
52,13527.8,1.10763,2.29038,1.5392,0.37752,0.15447,0.12,0.08212,1.12597,2.46171,1.54404,0.0004951,0.0004951,0.0004951
53,13606.5,1.08245,2.26655,1.52385,0.3165,0.1572,0.11423,0.07584,1.2156,2.5016,1.61362,0.0004852,0.0004852,0.0004852
54,13683.3,1.07621,2.23595,1.5208,0.33608,0.15776,0.12039,0.08157,1.11617,2.44506,1.54496,0.0004753,0.0004753,0.0004753
55,13761.3,1.08792,2.25346,1.52259,0.35887,0.15309,0.12334,0.08353,1.14675,2.44916,1.5717,0.0004654,0.0004654,0.0004654
56,13841.7,1.09539,2.21434,1.52559,0.28104,0.16692,0.12219,0.0869,1.0602,2.43914,1.50376,0.0004555,0.0004555,0.0004555
57,13923.2,1.07801,2.24392,1.51984,0.34618,0.15554,0.12289,0.08684,1.08877,2.42223,1.53311,0.0004456,0.0004456,0.0004456
58,14007.5,1.07538,2.19933,1.52208,0.34712,0.17125,0.12644,0.08694,1.13386,2.4297,1.55783,0.0004357,0.0004357,0.0004357
59,14094.7,1.0646,2.17894,1.50207,0.30242,0.16549,0.12709,0.08907,1.0842,2.40179,1.53299,0.0004258,0.0004258,0.0004258
60,14178.6,1.06686,2.15461,1.50776,0.36828,0.17324,0.1316,0.08921,1.16313,2.42427,1.58551,0.0004159,0.0004159,0.0004159
61,14257.9,1.08285,2.14658,1.51758,0.36293,0.16125,0.12652,0.08639,1.14176,2.4375,1.5609,0.000406,0.000406,0.000406
62,14338.4,1.0685,2.13695,1.5,0.34346,0.16473,0.1344,0.09258,1.10277,2.38602,1.52947,0.0003961,0.0003961,0.0003961
63,14417.8,1.06532,2.15248,1.50767,0.40637,0.15761,0.13163,0.08997,1.12546,2.39588,1.55361,0.0003862,0.0003862,0.0003862
64,14497.5,1.05389,2.08762,1.49133,0.36896,0.17272,0.13677,0.09577,1.08521,2.40509,1.53956,0.0003763,0.0003763,0.0003763
65,14576.9,1.04595,2.10601,1.48769,0.38274,0.16069,0.13045,0.09195,1.0756,2.37983,1.52539,0.0003664,0.0003664,0.0003664
66,14655.9,1.04688,2.09802,1.49326,0.35027,0.17166,0.12984,0.08951,1.13232,2.41497,1.55611,0.0003565,0.0003565,0.0003565
67,14736.3,1.05748,2.12359,1.50791,0.34671,0.16469,0.13456,0.09346,1.11877,2.39893,1.55625,0.0003466,0.0003466,0.0003466
68,14815.8,1.03566,2.04055,1.4762,0.34051,0.17695,0.13939,0.0958,1.13469,2.37879,1.55557,0.0003367,0.0003367,0.0003367
69,14894.9,1.03417,2.03164,1.46102,0.35703,0.16492,0.13623,0.09545,1.09322,2.39656,1.53399,0.0003268,0.0003268,0.0003268
70,14975,1.05077,2.08435,1.4949,0.33597,0.17006,0.13673,0.09546,1.11158,2.39161,1.54951,0.0003169,0.0003169,0.0003169
71,15056.8,1.0297,2.03397,1.4705,0.32896,0.1779,0.13594,0.09577,1.08921,2.38904,1.52813,0.000307,0.000307,0.000307
72,15137,1.01631,1.98215,1.46701,0.31462,0.1714,0.13525,0.09436,1.08057,2.36311,1.52575,0.0002971,0.0002971,0.0002971
73,15217,1.04227,2.00498,1.48082,0.33728,0.18142,0.13573,0.09398,1.12296,2.42745,1.56487,0.0002872,0.0002872,0.0002872
74,15297.7,1.04531,2.02721,1.49055,0.32546,0.17495,0.13443,0.09387,1.07591,2.39282,1.52501,0.0002773,0.0002773,0.0002773
75,15377.9,1.0216,1.98921,1.46195,0.33018,0.17279,0.1407,0.09738,1.10238,2.37097,1.53342,0.0002674,0.0002674,0.0002674
76,15458.4,1.01575,2.00256,1.46703,0.3605,0.16443,0.13949,0.09841,1.07095,2.37378,1.52139,0.0002575,0.0002575,0.0002575
77,15538.8,1.00573,1.94925,1.4507,0.33652,0.16854,0.14103,0.09933,1.07133,2.37919,1.53338,0.0002476,0.0002476,0.0002476
78,15619.4,1.02083,1.96794,1.46652,0.34477,0.17027,0.14049,0.09722,1.10884,2.36689,1.54323,0.0002377,0.0002377,0.0002377
79,15701.2,1.00938,1.95174,1.45162,0.36075,0.17703,0.14105,0.09829,1.09424,2.39251,1.55361,0.0002278,0.0002278,0.0002278
80,15781.6,0.99284,1.90392,1.43918,0.31825,0.1881,0.14185,0.09969,1.07583,2.3705,1.52402,0.0002179,0.0002179,0.0002179
81,15861.9,1.0105,1.93842,1.45901,0.28755,0.18241,0.14012,0.09895,1.07131,2.37786,1.52688,0.000208,0.000208,0.000208
82,15943.3,1.027,1.94846,1.47074,0.35798,0.16999,0.14445,0.10067,1.08779,2.37064,1.53998,0.0001981,0.0001981,0.0001981
83,16024.1,1.00413,1.93808,1.45379,0.32938,0.17702,0.1401,0.09916,1.08732,2.38935,1.53841,0.0001882,0.0001882,0.0001882
84,16104,0.98148,1.88611,1.43751,0.35642,0.17519,0.1469,0.10296,1.07776,2.36374,1.53064,0.0001783,0.0001783,0.0001783
85,16184.2,0.9999,1.90481,1.44895,0.32674,0.17812,0.14316,0.10088,1.08501,2.35384,1.53137,0.0001684,0.0001684,0.0001684
86,16265.7,1.0136,1.93466,1.46333,0.31292,0.18359,0.14393,0.09985,1.10685,2.3767,1.54685,0.0001585,0.0001585,0.0001585
87,16345.9,1.00262,1.89111,1.45232,0.29963,0.18015,0.14697,0.10168,1.10093,2.36249,1.5435,0.0001486,0.0001486,0.0001486
88,16427.1,1.01283,1.90574,1.46383,0.32757,0.18031,0.1436,0.09952,1.10035,2.36549,1.53837,0.0001387,0.0001387,0.0001387
89,16507.6,0.9845,1.84936,1.42968,0.32776,0.18566,0.14616,0.10195,1.07393,2.35878,1.52474,0.0001288,0.0001288,0.0001288
90,16587.6,0.97079,1.81119,1.43336,0.33586,0.18325,0.14637,0.10254,1.0609,2.34739,1.51613,0.0001189,0.0001189,0.0001189
91,16663.1,0.81808,1.5761,1.35657,0.32534,0.17029,0.13379,0.09386,1.04765,2.40825,1.51391,0.000109,0.000109,0.000109
92,16738.9,0.79018,1.4245,1.32263,0.31502,0.17851,0.14161,0.09843,1.07358,2.36582,1.52377,9.91e-05,9.91e-05,9.91e-05
93,16816.4,0.76888,1.37183,1.31679,0.32417,0.1766,0.14332,0.09899,1.06877,2.37306,1.51304,8.92e-05,8.92e-05,8.92e-05
94,17121.1,0.76329,1.33793,1.30981,0.2648,0.19014,0.14332,0.1003,1.05186,2.37767,1.51291,7.93e-05,7.93e-05,7.93e-05
95,17198.7,0.76538,1.30021,1.3069,0.26858,0.18882,0.14373,0.10083,1.05271,2.37659,1.51281,6.94e-05,6.94e-05,6.94e-05
96,17273.8,0.74819,1.28921,1.291,0.25889,0.18808,0.14452,0.10075,1.05601,2.36511,1.51263,5.95e-05,5.95e-05,5.95e-05
97,17349.6,0.74174,1.29482,1.2846,0.28751,0.18597,0.14442,0.10111,1.0537,2.37774,1.51508,4.96e-05,4.96e-05,4.96e-05
98,17425.2,0.7485,1.27772,1.29442,0.26076,0.19418,0.14555,0.10113,1.05667,2.36682,1.51336,3.97e-05,3.97e-05,3.97e-05
99,17502.8,0.75592,1.25785,1.30373,0.2884,0.18332,0.14669,0.10327,1.04401,2.35935,1.50838,2.98e-05,2.98e-05,2.98e-05
100,17578.8,0.75212,1.24095,1.29412,0.28891,0.18166,0.14691,0.10305,1.05511,2.36852,1.51681,1.99e-05,1.99e-05,1.99e-05
